,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Att,Yds,TD,Rec,Yds.1,TD.1,College/Univ,PFR_URL,Height,Weight
578,2001,1,8,David Terrell,WR,26.0,CHI,2001.0,2005.0,0,0,1,11.0,54.0,29.0,4.0,14.0,0.0,128.0,1602.0,9.0,Michigan,http://www.pro-football-reference.com/players/T/TerrDa00.htm,72,190
579,2001,1,9,Koren Robinson,WR,21.0,SEA,2001.0,2008.0,0,1,5,35.0,96.0,70.0,23.0,115.0,1.0,294.0,4244.0,16.0,North Carolina St.,http://www.pro-football-reference.com/players/R/RobiKo00.htm,73,205
580,2001,1,15,Rod Gardner,WR,23.0,WAS,2001.0,2006.0,0,0,4,25.0,91.0,62.0,5.0,24.0,0.0,242.0,3165.0,23.0,Clemson,http://www.pro-football-reference.com/players/G/GardRo00.htm,74,213
581,2001,1,16,Santana Moss,WR,22.0,NYJ,2001.0,2014.0,0,1,8,73.0,197.0,135.0,51.0,287.0,0.0,732.0,10283.0,66.0,Miami (FL),http://www.pro-football-reference.com/players/M/MossSa00.htm,70,193
582,2001,1,25,Freddie Mitchell,WR,22.0,PHI,2001.0,2004.0,0,0,0,13.0,63.0,17.0,2.0,-4.0,0.0,90.0,1263.0,5.0,UCLA,http://www.pro-football-reference.com/players/M/MitcFr00.htm,71,184
583,2001,1,30,Reggie Wayne,WR,22.0,IND,2001.0,2014.0,1,6,12,117.0,211.0,197.0,4.0,0.0,0.0,1070.0,14345.0,82.0,Miami (FL),http://www.pro-football-reference.com/players/W/WaynRe00.htm,72,203
584,2001,2,33,Quincy Morgan,WR,23.0,CLE,2001.0,2006.0,0,0,3,20.0,86.0,52.0,10.0,53.0,0.0,164.0,2466.0,17.0,Kansas St.,http://www.pro-football-reference.com/players/M/MorgQu00.htm,73,215
585,2001,2,36,Chad Johnson,WR,23.0,CIN,2001.0,2011.0,2,6,7,87.0,166.0,135.0,24.0,175.0,0.0,766.0,11059.0,67.0,Oregon St.,http://www.pro-football-reference.com/players/J/JohnCh01.htm,73,188
586,2001,2,41,Robert Ferguson,WR,21.0,GNB,2001.0,2008.0,0,0,2,18.0,83.0,34.0,1.0,-8.0,0.0,151.0,1993.0,13.0,Texas A&M,http://www.pro-football-reference.com/players/F/FergRo00.htm,73,210
587,2001,2,52,Chris Chambers,WR,23.0,MIA,2001.0,2010.0,0,1,7,57.0,153.0,127.0,44.0,373.0,0.0,540.0,7648.0,58.0,Wisconsin,http://www.pro-football-reference.com/players/C/ChamCh00.htm,71,210
588,2001,3,74,Steve Smith,WR,22.0,CAR,2001.0,2016.0,2,5,13,103.0,219.0,198.0,57.0,387.0,2.0,1031.0,14731.0,81.0,Utah,http://www.pro-football-reference.com/players/S/SmitSt01.htm,69,195
589,2001,3,77,Snoop Minnis,WR,24.0,KAN,2001.0,2002.0,0,0,0,5.0,15.0,11.0,,,,34.0,515.0,1.0,Florida St.,http://www.pro-football-reference.com/players/M/MinnMa00.htm,73,172
590,2001,4,116,Milton Wynn,WR,22.0,STL,2001.0,2002.0,0,0,0,1.0,4.0,0.0,,,,4.0,69.0,0.0,Washington St.,http://www.pro-football-reference.com/players/W/WynnMi00.htm,74,207
591,2001,4,124,Justin McCareins,WR,22.0,TEN,2001.0,2008.0,0,0,4,33.0,114.0,67.0,8.0,42.0,0.0,240.0,3676.0,16.0,Northern Illinois,http://www.pro-football-reference.com/players/M/McCaJu00.htm,74,215
592,2001,4,131,Cedric James,WR,22.0,MIN,2002.0,2002.0,0,0,0,0.0,5.0,0.0,,,,1.0,29.0,0.0,TCU,http://www.pro-football-reference.com/players/J/JameCe00.htm,73,199
593,2001,5,136,Vinny Sutherland,WR,23.0,ATL,2001.0,2002.0,0,0,0,0.0,18.0,0.0,1.0,16.0,0.0,1.0,5.0,0.0,Purdue,http://www.pro-football-reference.com/players/S/SuthVi00.htm,68,188
594,2001,5,140,Alex Bannister,WR,22.0,SEA,2001.0,2006.0,0,1,0,1.0,59.0,4.0,,,,9.0,121.0,1.0,East. Kentucky,http://www.pro-football-reference.com/players/B/BannAl00.htm,77,207
595,2001,5,148,Scotty Anderson,WR,21.0,DET,2001.0,2003.0,0,0,0,8.0,34.0,8.0,,,,54.0,858.0,4.0,Grambling St.,http://www.pro-football-reference.com/players/A/AndeSc00.htm,74,191
597,2001,5,154,Darnerien McCants,WR,24.0,WAS,2002.0,2005.0,0,0,0,7.0,41.0,3.0,1.0,9.0,0.0,58.0,774.0,8.0,Delaware St.,http://www.pro-football-reference.com/players/M/McCaDa00.htm,75,214
598,2001,5,159,Eddie Berlin,WR,23.0,TEN,2001.0,2005.0,0,0,0,3.0,62.0,1.0,,,,26.0,379.0,2.0,Northern Iowa,http://www.pro-football-reference.com/players/B/BerlEd00.htm,71,195
599,2001,5,162,Jonathan Carter,WR,22.0,NYG,2001.0,2004.0,0,0,0,4.0,25.0,1.0,,,,14.0,266.0,2.0,Troy,http://www.pro-football-reference.com/players/C/CartJo01.htm,72,180
601,2001,6,169,Cedrick Wilson,WR,22.0,SFO,2001.0,2007.0,0,0,2,22.0,100.0,33.0,7.0,53.0,0.0,178.0,2365.0,8.0,Tennessee,http://www.pro-football-reference.com/players/W/WilsCe00.htm,70,183
602,2001,6,190,Kevin Kasper,WR,23.0,DEN,2001.0,2006.0,0,0,0,2.0,39.0,9.0,7.0,34.0,0.0,24.0,287.0,3.0,Iowa,http://www.pro-football-reference.com/players/K/KaspKe00.htm,73,200
604,2001,7,204,T.J. Houshmandzadeh,WR,23.0,CIN,2001.0,2011.0,0,1,6,56.0,146.0,92.0,23.0,142.0,1.0,627.0,7237.0,44.0,Oregon St.,http://www.pro-football-reference.com/players/H/HousTJ00.htm,74,200
606,2001,7,214,Reggie Germany,WR,23.0,BUF,2001.0,2001.0,0,0,0,2.0,16.0,1.0,,,,12.0,203.0,0.0,Ohio St.,http://www.pro-football-reference.com/players/G/GermRe00.htm,73,180
608,2001,7,229,Ken-Yon Rambo,WR,22.0,OAK,2001.0,2002.0,0,0,0,1.0,29.0,0.0,,,,17.0,239.0,0.0,Ohio St.,http://www.pro-football-reference.com/players/R/RambKe00.htm,73,195
610,2001,7,236,Quentin McCord,WR,23.0,ATL,2001.0,2003.0,0,0,0,5.0,25.0,2.0,4.0,13.0,0.0,23.0,427.0,1.0,Kentucky,http://www.pro-football-reference.com/players/M/McCoQu00.htm,70,188
