,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Att,Yds,TD,Rec,Yds.1,TD.1,College/Univ,PFR_URL,Height,Weight
713,1997,2,53,Will Blackwell,WR,22.0,PIT,1997.0,2001.0,0,0,0,8.0,47.0,2.0,2.0,14.0,0.0,67.0,682.0,2.0,San Diego St.,http://www.pro-football-reference.com/players/B/BlacWi00.htm,72,190
714,1997,3,88,Dedric Ward,WR,22.0,NYJ,1997.0,2004.0,0,0,2,19.0,103.0,33.0,12.0,86.0,0.0,167.0,2307.0,12.0,Northern Iowa,http://www.pro-football-reference.com/players/W/WardDe00.htm,69,187
715,1997,4,98,Derrick Mason,WR,23.0,TEN,1997.0,2011.0,1,2,10,86.0,230.0,169.0,9.0,3.0,0.0,943.0,12061.0,66.0,Michigan St.,http://www.pro-football-reference.com/players/M/MasoDe00.htm,70,197
716,1997,4,108,Marcus Robinson,WR,22.0,CHI,1998.0,2006.0,0,0,2,34.0,107.0,52.0,1.0,9.0,0.0,325.0,4699.0,43.0,South Carolina,http://www.pro-football-reference.com/players/R/RobiMa00.htm,75,215
717,1997,4,115,Albert Connell,WR,23.0,WAS,1997.0,2001.0,0,0,1,24.0,61.0,33.0,3.0,17.0,0.0,150.0,2674.0,16.0,Texas A&M,http://www.pro-football-reference.com/players/C/ConnAl00.htm,72,179
718,1997,4,116,Keith Poole,WR,23.0,NOR,1997.0,2001.0,0,0,1,13.0,54.0,26.0,1.0,14.0,0.0,96.0,1734.0,11.0,Arizona St.,http://www.pro-football-reference.com/players/P/PoolKe00.htm,72,188
719,1997,4,127,Macey Brooks,WR,22.0,DAL,1999.0,2000.0,0,0,0,2.0,25.0,5.0,1.0,7.0,0.0,40.0,376.0,0.0,James Madison,http://www.pro-football-reference.com/players/B/BrooMa00.htm,77,212
721,1997,5,150,Nate Jacquet,WR,22.0,IND,1997.0,2001.0,0,0,0,1.0,55.0,0.0,1.0,4.0,0.0,10.0,165.0,0.0,San Diego St.,http://www.pro-football-reference.com/players/J/JacqNa00.htm,72,185
722,1997,6,170,Brian Manning,WR,22.0,MIA,1997.0,1998.0,0,0,0,1.0,10.0,0.0,,,,7.0,85.0,0.0,Stanford,http://www.pro-football-reference.com/players/M/MannBr00.htm,71,188
723,1997,6,190,Antwuan Wyatt,WR,22.0,PHI,1997.0,1997.0,0,0,0,0.0,1.0,0.0,,,,,,,Bethune-Cookman,http://www.pro-football-reference.com/players/W/WyatAn20.htm,70,193
724,1997,6,192,Tony Gaiter,WR,23.0,NWE,1997.0,1998.0,0,0,0,0.0,6.0,0.0,,,,,,,Miami (FL),http://www.pro-football-reference.com/players/G/GaitTo00.htm,68,169
725,1997,6,195,Isaac Byrd,WR,22.0,KAN,1997.0,2002.0,0,0,0,10.0,61.0,21.0,2.0,-2.0,0.0,93.0,1229.0,6.0,Kansas,http://www.pro-football-reference.com/players/B/ByrdIs00.htm,73,188
728,1997,7,223,Mike Adams,WR,23.0,PIT,1997.0,1997.0,0,0,0,0.0,6.0,0.0,,,,1.0,39.0,0.0,Texas,http://www.pro-football-reference.com/players/A/AdamMi00.htm,71,185
730,1997,7,235,Matthew Hatchette,WR,23.0,MIN,1997.0,2003.0,0,0,0,9.0,65.0,8.0,,,,60.0,887.0,6.0,Langston,http://www.pro-football-reference.com/players/H/HatcMa00.htm,75,200
731,1996,1,1,Keyshawn Johnson,WR,24.0,NYJ,1996.0,2006.0,0,3,10,78.0,167.0,162.0,13.0,91.0,2.0,814.0,10571.0,64.0,USC,http://www.pro-football-reference.com/players/J/JohnKe00.htm,76,211
732,1996,1,7,Terry Glenn,WR,22.0,NWE,1996.0,2007.0,0,1,9,67.0,137.0,127.0,20.0,139.0,1.0,593.0,8823.0,44.0,Ohio St.,http://www.pro-football-reference.com/players/G/GlenTe00.htm,71,195
733,1996,1,18,Eddie Kennison,WR,23.0,STL,1996.0,2008.0,0,0,9,70.0,179.0,154.0,39.0,282.0,0.0,548.0,8345.0,42.0,LSU,http://www.pro-football-reference.com/players/K/KennEd00.htm,73,201
734,1996,1,19,Marvin Harrison HOF,WR,24.0,IND,1996.0,2008.0,3,8,12,124.0,190.0,188.0,10.0,28.0,0.0,1102.0,14580.0,128.0,Syracuse,http://www.pro-football-reference.com/players/H/HarrMa00.htm,72,185
735,1996,1,24,Eric Moulds,WR,23.0,BUF,1996.0,2007.0,0,3,11,76.0,186.0,157.0,29.0,163.0,0.0,764.0,9995.0,49.0,Mississippi St.,http://www.pro-football-reference.com/players/M/MoulEr00.htm,74,210
736,1996,2,31,Alex Van Dyke,WR,22.0,NYJ,1996.0,2000.0,0,0,0,1.0,42.0,1.0,,,,26.0,219.0,3.0,Nevada,http://www.pro-football-reference.com/players/V/VanDAl00.htm,72,205
737,1996,2,34,Amani Toomer,WR,21.0,NYG,1996.0,2008.0,0,0,10,66.0,190.0,141.0,12.0,110.0,1.0,668.0,9497.0,54.0,Michigan,http://www.pro-football-reference.com/players/T/ToomAm00.htm,75,203
738,1996,2,41,Bryan Still,WR,22.0,SDG,1996.0,1999.0,0,0,1,8.0,52.0,14.0,,,,83.0,1181.0,2.0,Virginia Tech,http://www.pro-football-reference.com/players/S/StilBr00.htm,71,174
739,1996,2,43,Muhsin Muhammad,WR,23.0,CAR,1996.0,2009.0,1,2,12,81.0,202.0,188.0,11.0,64.0,0.0,860.0,11438.0,62.0,Michigan St.,http://www.pro-football-reference.com/players/M/MuhaMu00.htm,74,215
740,1996,2,52,Bobby Engram,WR,23.0,CHI,1996.0,2009.0,0,0,6,53.0,176.0,113.0,5.0,19.0,0.0,650.0,7751.0,35.0,Penn St.,http://www.pro-football-reference.com/players/E/EngrBo00.htm,70,192
741,1996,2,56,Derrick Mayes,WR,22.0,GNB,1996.0,2000.0,0,0,1,16.0,58.0,32.0,,,,145.0,1823.0,16.0,Notre Dame,http://www.pro-football-reference.com/players/M/MayeDe00.htm,72,205
742,1996,3,89,Terrell Owens HOF,WR,22.0,SFO,1996.0,2010.0,5,6,13,119.0,219.0,201.0,39.0,251.0,3.0,1078.0,15934.0,153.0,Tenn-Chattanooga,http://www.pro-football-reference.com/players/O/OwenTe00.htm,75,224
743,1996,3,94,Stepfret Williams,WR,23.0,DAL,1996.0,1998.0,0,0,0,3.0,26.0,0.0,,,,37.0,421.0,2.0,La-Monroe,http://www.pro-football-reference.com/players/W/WillSt00.htm,72,170
744,1996,4,110,Reggie Barlow,WR,23.0,JAX,1996.0,2003.0,0,0,0,8.0,82.0,5.0,,,,39.0,522.0,1.0,Alabama St.,http://www.pro-football-reference.com/players/B/BarlRe00.htm,72,190
745,1996,4,114,Charlie Jones,WR,23.0,SDG,1996.0,1999.0,0,0,2,13.0,54.0,27.0,9.0,73.0,0.0,129.0,1736.0,9.0,Fresno St.,http://www.pro-football-reference.com/players/J/JoneCh00.htm,68,175
746,1996,4,132,Jahine Arnold,WR,23.0,PIT,1996.0,1999.0,0,0,0,1.0,13.0,0.0,1.0,-3.0,0.0,6.0,76.0,0.0,Fresno St.,http://www.pro-football-reference.com/players/A/ArnoJa00.htm,72,187
747,1996,5,135,Joe Horn,WR,24.0,KAN,1996.0,2007.0,0,4,8,69.0,163.0,114.0,14.0,54.0,0.0,603.0,8744.0,58.0,Itawamba JC,http://www.pro-football-reference.com/players/H/HornJo00.htm,73,213
748,1996,5,136,Mercury Hayes,WR,23.0,NOR,1996.0,1997.0,0,0,0,1.0,13.0,0.0,2.0,7.0,0.0,4.0,101.0,0.0,Michigan,http://www.pro-football-reference.com/players/H/HayeMe21.htm,71,195
749,1996,5,153,Jermaine Lewis,WR,21.0,BAL,1996.0,2004.0,1,2,2,22.0,111.0,32.0,30.0,148.0,0.0,143.0,2129.0,17.0,Maryland,http://www.pro-football-reference.com/players/L/LewiJe00.htm,67,183
750,1996,5,159,Patrick Jeffers,WR,23.0,DEN,1996.0,2001.0,0,0,1,17.0,46.0,11.0,2.0,16.0,0.0,98.0,1563.0,14.0,Virginia,http://www.pro-football-reference.com/players/J/JeffPa00.htm,75,217
751,1996,5,160,Iheanyi Uwaezuoke,WR,23.0,SFO,1996.0,2000.0,0,0,0,5.0,60.0,2.0,,,,29.0,374.0,1.0,California,http://www.pro-football-reference.com/players/U/UwaeIh00.htm,74,198
752,1996,5,165,Terry Guess,WR,21.0,NOR,1996.0,1996.0,0,0,0,1.0,3.0,2.0,2.0,-4.0,0.0,2.0,69.0,1.0,Gardner-Webb,http://www.pro-football-reference.com/players/G/GuesTe00.htm,72,200
753,1996,6,176,Dietrich Jells,WR,24.0,KAN,1996.0,1999.0,0,0,0,1.0,41.0,4.0,2.0,9.0,0.0,14.0,247.0,2.0,Pittsburgh,http://www.pro-football-reference.com/players/J/JellDi00.htm,70,186
754,1996,6,180,Nilo Silvan,WR,22.0,TAM,1996.0,1996.0,0,0,0,0.0,7.0,0.0,,,,,,,Tennessee,http://www.pro-football-reference.com/players/S/SilvNi20.htm,69,176
755,1996,6,185,Chris Doering,WR,23.0,JAX,1996.0,2004.0,0,0,0,3.0,40.0,3.0,,,,42.0,476.0,3.0,Florida,http://www.pro-football-reference.com/players/D/DoerCh00.htm,76,202
756,1996,6,186,James Roe,WR,23.0,BAL,1996.0,1998.0,0,0,0,2.0,23.0,7.0,,,,15.0,239.0,1.0,Norfolk St.,http://www.pro-football-reference.com/players/R/RoexJa00.htm,73,187
757,1996,6,199,Phillip Riley,WR,23.0,PHI,1996.0,1996.0,0,0,0,0.0,1.0,0.0,,,,,,,Florida St.,http://www.pro-football-reference.com/players/R/RilePh20.htm,71,189
763,1996,7,251,Brice Hunter,WR,22.0,MIA,1997.0,1998.0,0,0,0,1.0,13.0,0.0,,,,4.0,73.0,1.0,Georgia,http://www.pro-football-reference.com/players/H/HuntBr00.htm,74,206
764,1995,1,4,Michael Westbrook,WR,23.0,WAS,1995.0,2002.0,0,0,6,38.0,89.0,72.0,22.0,160.0,1.0,285.0,4374.0,26.0,Colorado,http://www.pro-football-reference.com/players/W/WestMi00.htm,75,220
765,1995,1,8,Joey Galloway,WR,23.0,SEA,1995.0,2010.0,0,0,10,77.0,198.0,175.0,63.0,496.0,1.0,701.0,10950.0,77.0,Ohio St.,http://www.pro-football-reference.com/players/G/GallJo00.htm,71,200
766,1995,1,10,J.J. Stokes,WR,22.0,SFO,1995.0,2003.0,0,0,4,40.0,118.0,69.0,1.0,6.0,0.0,342.0,4293.0,30.0,UCLA,http://www.pro-football-reference.com/players/S/StokJ.00.htm,76,218
767,1995,2,47,Frank Sanders,WR,22.0,ARI,1995.0,2003.0,0,0,8,44.0,136.0,120.0,11.0,4.0,0.0,507.0,6749.0,24.0,Auburn,http://www.pro-football-reference.com/players/S/SandFr00.htm,74,215
769,1995,3,67,Chris Sanders,WR,23.0,HOU,1995.0,2001.0,0,0,4,29.0,97.0,55.0,4.0,-36.0,0.0,177.0,3285.0,17.0,Ohio St.,http://www.pro-football-reference.com/players/S/SandCh00.htm,73,188
770,1995,3,78,Chris Jones,WR,24.0,PHI,1995.0,1997.0,0,0,1,10.0,32.0,17.0,,,,80.0,993.0,5.0,Miami (FL),http://www.pro-football-reference.com/players/J/JoneCh01.htm,75,209
771,1995,3,81,Tamarick Vanover,WR,21.0,KAN,1995.0,2002.0,0,0,0,12.0,77.0,6.0,17.0,88.0,0.0,39.0,564.0,3.0,Florida St.,http://www.pro-football-reference.com/players/V/VanoTa00.htm,72,220
772,1995,3,90,Antonio Freeman,WR,23.0,GNB,1995.0,2003.0,1,1,6,64.0,132.0,91.0,8.0,17.0,0.0,477.0,7251.0,61.0,Virginia Tech,http://www.pro-football-reference.com/players/F/FreeAn00.htm,73,198
773,1995,4,113,Justin Armour,WR,22.0,BUF,1995.0,1999.0,0,0,1,7.0,39.0,16.0,4.0,-5.0,0.0,64.0,861.0,7.0,Stanford,http://www.pro-football-reference.com/players/A/ArmoJu00.htm,76,210
774,1995,4,116,Jack Jackson,WR,22.0,CHI,1996.0,1996.0,0,0,0,0.0,12.0,0.0,,,,4.0,39.0,0.0,Florida,http://www.pro-football-reference.com/players/J/JackJa20.htm,68,174
775,1995,5,139,David Dunn,WR,23.0,CIN,1995.0,2001.0,0,0,0,13.0,88.0,5.0,1.0,-13.0,0.0,91.0,1264.0,4.0,Fresno St.,http://www.pro-football-reference.com/players/D/DunnDa00.htm,75,215
776,1995,5,145,Roell Preston,WR,23.0,ATL,1995.0,1999.0,0,1,0,6.0,53.0,2.0,,,,30.0,360.0,2.0,Mississippi,http://www.pro-football-reference.com/players/P/PresRo00.htm,70,187
778,1995,5,156,Kez McCorvey,WR,23.0,DET,1995.0,1997.0,0,0,0,0.0,9.0,0.0,,,,2.0,9.0,0.0,Florida St.,http://www.pro-football-reference.com/players/M/McCoKe20.htm,72,184
779,1995,5,162,'Omar Ellison,WR,23.0,SDG,1995.0,1996.0,0,0,0,0.0,12.0,1.0,,,,4.0,21.0,0.0,Florida St.,http://www.pro-football-reference.com/players/E/ElliOm20.htm,73,200
783,1995,6,184,Lee DeRamus,WR,23.0,NOR,1995.0,1996.0,0,0,0,2.0,23.0,4.0,1.0,2.0,0.0,21.0,258.0,1.0,Wisconsin,http://www.pro-football-reference.com/players/D/DeRaLe00.htm,72,205
785,1995,7,212,Billy Williams,WR,24.0,ARI,1996.0,1996.0,0,0,0,0.0,1.0,0.0,,,,,,,Tennessee,http://www.pro-football-reference.com/players/W/WillBi20.htm,71,175
786,1995,7,217,Curtis Ceaser,WR,23.0,NYJ,1995.0,1995.0,0,0,0,0.0,4.0,0.0,,,,,,,Grambling St.,http://www.pro-football-reference.com/players/C/CeasCu20.htm,74,190
787,1995,7,219,Curtis Marsh,WR,24.0,JAX,1995.0,1997.0,0,0,0,1.0,15.0,0.0,1.0,2.0,0.0,9.0,141.0,0.0,Utah,http://www.pro-football-reference.com/players/M/MarsCu00.htm,74,201
789,1995,7,235,Henry Bailey,WR,22.0,PIT,1996.0,1996.0,0,0,0,0.0,8.0,0.0,1.0,-4.0,0.0,5.0,65.0,0.0,UNLV,http://www.pro-football-reference.com/players/B/BailHe00.htm,68,176
790,1995,7,240,J.T. Thomas,WR,23.0,STL,1995.0,1998.0,0,0,0,2.0,51.0,2.0,1.0,-1.0,0.0,34.0,400.0,0.0,Arizona St.,http://www.pro-football-reference.com/players/T/ThomJ.00.htm,70,180
792,1994,1,17,Charles Johnson,WR,22.0,PIT,1994.0,2002.0,0,0,7,38.0,133.0,87.0,11.0,11.0,0.0,354.0,4606.0,24.0,Colorado,http://www.pro-football-reference.com/players/J/JohnCh00.htm,72,200
793,1994,1,21,Johnnie Morton,WR,22.0,DET,1994.0,2005.0,0,0,9,70.0,182.0,156.0,46.0,404.0,0.0,624.0,8719.0,43.0,USC,http://www.pro-football-reference.com/players/M/MortJo00.htm,72,190
794,1994,1,24,Thomas Lewis,WR,22.0,NYG,1994.0,1997.0,0,0,1,9.0,34.0,15.0,,,,74.0,1032.0,5.0,Indiana,http://www.pro-football-reference.com/players/L/LewiTh00.htm,73,191
795,1994,1,29,Derrick Alexander,WR,22.0,CLE,1994.0,2002.0,0,0,6,56.0,126.0,102.0,16.0,210.0,1.0,417.0,6971.0,40.0,Michigan,http://www.pro-football-reference.com/players/A/AlexDe00.htm,74,195
796,1994,2,30,Darnay Scott,WR,22.0,CIN,1994.0,2002.0,0,0,7,47.0,124.0,104.0,22.0,151.0,0.0,408.0,6193.0,37.0,San Diego St.,http://www.pro-football-reference.com/players/S/ScotDa00.htm,73,200
797,1994,2,33,Isaac Bruce,WR,21.0,RAM,1994.0,2009.0,0,4,13,102.0,223.0,201.0,25.0,139.0,0.0,1024.0,15208.0,91.0,Memphis,http://www.pro-football-reference.com/players/B/BrucIs00.htm,72,188
798,1994,2,35,Kevin Lee,WR,23.0,NWE,1995.0,1996.0,0,0,0,1.0,9.0,2.0,1.0,4.0,0.0,8.0,107.0,0.0,Alabama,http://www.pro-football-reference.com/players/L/LeexKe00.htm,73,194
799,1994,2,40,David Palmer,WR,21.0,MIN,1994.0,2000.0,0,0,0,9.0,84.0,4.0,34.0,125.0,1.0,73.0,631.0,1.0,Alabama,http://www.pro-football-reference.com/players/P/PalmDa00.htm,68,173
800,1994,2,41,Ryan Yarborough,WR,23.0,NYJ,1994.0,1998.0,0,0,0,2.0,51.0,6.0,,,,44.0,494.0,3.0,Wyoming,http://www.pro-football-reference.com/players/Y/YarbRy00.htm,74,195
801,1994,2,45,Bert Emanuel,WR,23.0,ATL,1994.0,2001.0,0,0,6,39.0,103.0,87.0,7.0,13.0,0.0,351.0,4852.0,28.0,Rice,http://www.pro-football-reference.com/players/E/EmanBe00.htm,70,180
802,1994,3,68,Tydus Winans,WR,22.0,WAS,1994.0,1996.0,0,0,0,4.0,25.0,1.0,1.0,5.0,0.0,23.0,421.0,2.0,Fresno St.,http://www.pro-football-reference.com/players/W/WinaTy00.htm,71,180
803,1994,3,70,Andre Coleman,WR,21.0,SDG,1994.0,1998.0,0,0,1,10.0,58.0,10.0,2.0,0.0,0.0,43.0,602.0,3.0,Kansas St.,http://www.pro-football-reference.com/players/C/ColeAn00.htm,69,165
804,1994,3,87,Cory Fleming,WR,23.0,SFO,1994.0,1995.0,0,0,0,1.0,18.0,0.0,,,,6.0,83.0,0.0,Tennessee,http://www.pro-football-reference.com/players/F/FlemCo20.htm,73,216
805,1994,3,92,Lake Dawson,WR,22.0,KAN,1994.0,1997.0,0,0,2,12.0,43.0,26.0,4.0,15.0,0.0,103.0,1406.0,10.0,Notre Dame,http://www.pro-football-reference.com/players/D/DawsLa01.htm,73,204
806,1994,3,96,Chris Penn,WR,23.0,KAN,1994.0,1999.0,0,0,1,15.0,70.0,24.0,1.0,-1.0,0.0,148.0,1945.0,12.0,Tulsa,http://www.pro-football-reference.com/players/P/PennCh00.htm,72,198
807,1994,3,101,Malcolm Floyd,WR,21.0,HOU,1994.0,1997.0,0,0,0,2.0,49.0,1.0,,,,26.0,351.0,2.0,Fresno St.,http://www.pro-football-reference.com/players/F/FloyMa01.htm,72,194
808,1994,4,108,Chris Brantley,WR,23.0,RAM,1994.0,1996.0,0,0,0,0.0,25.0,0.0,,,,9.0,76.0,1.0,Rutgers,http://www.pro-football-reference.com/players/B/BranCh00.htm,70,180
809,1994,4,109,Willie Jackson,WR,23.0,DAL,1995.0,2002.0,0,0,2,29.0,113.0,40.0,4.0,16.0,0.0,284.0,3641.0,24.0,Florida,http://www.pro-football-reference.com/players/J/JackWi00.htm,73,212
810,1994,4,117,Orlando Parker,WR,22.0,NYJ,1994.0,1994.0,0,0,0,0.0,2.0,0.0,,,,1.0,7.0,0.0,Troy,http://www.pro-football-reference.com/players/P/ParkOr20.htm,71,190
812,1994,5,146,Terry Mickens,WR,23.0,GNB,1994.0,1999.0,0,0,0,8.0,79.0,10.0,,,,70.0,851.0,4.0,Florida A&M,http://www.pro-football-reference.com/players/M/MickTe00.htm,72,201
813,1994,6,166,Steve Hawkins,WR,23.0,NWE,1994.0,1994.0,0,0,0,0.0,7.0,0.0,,,,2.0,22.0,0.0,West. Michigan,http://www.pro-football-reference.com/players/H/HawkSt20.htm,77,210
816,1994,6,176,Derrell Mitchell,WR,22.0,NOR,1994.0,1994.0,0,0,0,0.0,14.0,0.0,,,,1.0,13.0,0.0,Texas Tech,http://www.pro-football-reference.com/players/M/MitcDe00.htm,69,189
817,1994,6,181,Bill Schroeder,WR,23.0,GNB,1997.0,2004.0,0,0,5,38.0,111.0,78.0,3.0,17.0,0.0,304.0,4583.0,28.0,Wisconsin–LaCrosse,http://www.pro-football-reference.com/players/S/SchrBi00.htm,75,200
819,1994,6,192,Kevin Knox,WR,23.0,BUF,1994.0,1994.0,0,0,0,0.0,2.0,0.0,,,,,,,Florida St.,http://www.pro-football-reference.com/players/K/KnoxKe20.htm,75,195
820,1993,1,7,Curtis Conway,WR,22.0,CHI,1993.0,2004.0,0,0,9,61.0,167.0,144.0,50.0,465.0,3.0,594.0,8230.0,52.0,USC,http://www.pro-football-reference.com/players/C/ConwCu00.htm,73,196
821,1993,1,16,Sean Dawkins,WR,22.0,IND,1993.0,2001.0,0,0,6,48.0,140.0,109.0,,,,445.0,6291.0,25.0,California,http://www.pro-football-reference.com/players/D/DawkSe00.htm,76,215
822,1993,1,25,O.J. McDuffie,WR,23.0,MIA,1993.0,2000.0,0,0,5,44.0,116.0,78.0,15.0,49.0,0.0,415.0,5074.0,29.0,Penn St.,http://www.pro-football-reference.com/players/M/McDuO.00.htm,70,194
823,1993,2,46,Kevin Williams,WR,22.0,DAL,1993.0,2000.0,0,0,2,27.0,121.0,28.0,34.0,167.0,2.0,178.0,2314.0,7.0,Miami (FL),http://www.pro-football-reference.com/players/W/WillKe00.htm,69,195
824,1993,2,50,Victor Bailey,WR,23.0,PHI,1993.0,1996.0,0,0,1,8.0,34.0,10.0,,,,62.0,868.0,2.0,Missouri,http://www.pro-football-reference.com/players/B/BailVi00.htm,74,196
825,1993,2,52,Qadry Ismail,WR,22.0,MIN,1993.0,2002.0,0,0,4,38.0,137.0,68.0,5.0,25.0,0.0,353.0,5137.0,33.0,Syracuse,http://www.pro-football-reference.com/players/I/IsmaQa00.htm,72,196
826,1993,2,56,Vincent Brisby,WR,22.0,NWE,1993.0,2000.0,0,0,3,24.0,86.0,46.0,,,,221.0,3202.0,14.0,La-Monroe,http://www.pro-football-reference.com/players/B/BrisVi00.htm,75,190
827,1993,3,60,Lamar Thomas,WR,23.0,TAM,1993.0,1998.0,0,0,1,12.0,73.0,13.0,1.0,5.0,0.0,106.0,1558.0,10.0,Miami (FL),http://www.pro-football-reference.com/players/T/ThomLa00.htm,73,175
828,1993,3,76,Andre Hastings,WR,22.0,PIT,1993.0,2000.0,0,0,4,26.0,104.0,51.0,13.0,156.0,0.0,266.0,3307.0,18.0,Georgia,http://www.pro-football-reference.com/players/H/HastAn00.htm,73,190
829,1993,4,102,Travis Hannah,WR,23.0,HOU,1993.0,1995.0,0,0,0,1.0,37.0,0.0,1.0,5.0,0.0,13.0,166.0,0.0,USC,http://www.pro-football-reference.com/players/H/HannTr00.htm,67,161
830,1993,4,104,Horace Copeland,WR,22.0,TAM,1993.0,1998.0,0,0,2,16.0,60.0,28.0,3.0,34.0,0.0,115.0,1977.0,7.0,Miami (FL),http://www.pro-football-reference.com/players/C/CopeHo00.htm,75,200
831,1993,4,111,Russell Copeland,WR,21.0,BUF,1993.0,1998.0,0,0,1,13.0,72.0,22.0,2.0,-8.0,0.0,103.0,1460.0,2.0,Memphis,http://www.pro-football-reference.com/players/C/CopeRu00.htm,72,200
832,1993,5,114,Terrence Warren,WR,24.0,SEA,1993.0,1995.0,0,0,0,0.0,17.0,0.0,3.0,15.0,0.0,,,,Hampton,http://www.pro-football-reference.com/players/W/WarrTe20.htm,73,205
833,1993,5,122,Sean LaChapelle,WR,23.0,RAM,1993.0,1996.0,0,0,1,4.0,22.0,8.0,,,,29.0,445.0,2.0,UCLA,http://www.pro-football-reference.com/players/L/LaChSe00.htm,75,205
834,1993,5,125,Olanda Truitt,WR,22.0,RAI,1993.0,1997.0,0,0,0,3.0,46.0,2.0,,,,22.0,374.0,3.0,Mississippi St.,http://www.pro-football-reference.com/players/T/TruiOl00.htm,72,187
835,1993,5,129,Kenny Shedd,WR,22.0,NYJ,1996.0,2000.0,0,0,0,2.0,60.0,1.0,,,,16.0,252.0,1.0,Northern Iowa,http://www.pro-football-reference.com/players/S/ShedKe00.htm,70,168
837,1993,6,154,Melvin Bonner,WR,23.0,DEN,1993.0,1993.0,0,0,0,0.0,3.0,0.0,,,,,,,Baylor,http://www.pro-football-reference.com/players/B/BonnMe20.htm,75,207
838,1993,7,176,Tyree Davis,WR,22.0,TAM,1995.0,1997.0,0,0,0,0.0,14.0,1.0,,,,2.0,48.0,0.0,Central Arkansas,http://www.pro-football-reference.com/players/D/DaviTy20.htm,69,175
839,1993,7,182,Tony Kimbrough,WR,22.0,DEN,1993.0,1994.0,0,0,0,1.0,27.0,0.0,,,,10.0,99.0,0.0,Jackson St.,http://www.pro-football-reference.com/players/K/KimbTo00.htm,74,192
840,1993,7,186,Danan Hughes,WR,22.0,KAN,1993.0,1998.0,0,0,0,5.0,85.0,3.0,1.0,5.0,0.0,46.0,425.0,4.0,Iowa,http://www.pro-football-reference.com/players/H/HughDa00.htm,74,205
841,1993,7,187,Patrick Robinson,WR,23.0,HOU,1993.0,1994.0,0,0,0,1.0,30.0,3.0,1.0,6.0,0.0,9.0,77.0,0.0,Tennessee St.,http://www.pro-football-reference.com/players/R/RobiPa20.htm,68,176
843,1993,8,198,Troy Brown,WR,22.0,NWE,1993.0,2007.0,0,1,5,55.0,192.0,70.0,29.0,178.0,0.0,557.0,6366.0,31.0,Marshall,http://www.pro-football-reference.com/players/B/BrowTr00.htm,70,196
844,1993,8,205,Shannon Baker,WR,22.0,ATL,1994.0,1994.0,0,0,0,0.0,4.0,0.0,,,,2.0,15.0,0.0,Florida St.,http://www.pro-football-reference.com/players/B/BakeSh20.htm,69,185
845,1993,8,210,Brian Stablein,WR,23.0,DEN,1995.0,2000.0,0,0,0,6.0,87.0,6.0,,,,77.0,792.0,3.0,Ohio St.,http://www.pro-football-reference.com/players/S/StabBr00.htm,73,193
846,1993,8,215,Stevie Anderson,WR,23.0,PHO,1994.0,1996.0,0,0,0,2.0,23.0,0.0,,,,16.0,188.0,1.0,Grambling St.,http://www.pro-football-reference.com/players/A/AndeSt00.htm,77,215
848,1992,1,4,Desmond Howard,WR,22.0,WAS,1992.0,2002.0,0,1,1,18.0,156.0,29.0,12.0,68.0,0.0,123.0,1597.0,7.0,Michigan,http://www.pro-football-reference.com/players/H/HowaDe00.htm,70,185
849,1992,2,31,Carl Pickens,WR,22.0,CIN,1992.0,2000.0,0,2,8,56.0,129.0,117.0,6.0,6.0,0.0,540.0,7129.0,63.0,Tennessee,http://www.pro-football-reference.com/players/P/PickCa00.htm,74,206
850,1992,2,36,Jimmy Smith,WR,23.0,DAL,1992.0,2005.0,0,5,9,109.0,178.0,150.0,2.0,-1.0,0.0,862.0,12287.0,67.0,Jackson St.,http://www.pro-football-reference.com/players/S/SmitJi00.htm,73,213
851,1992,2,44,Courtney Hawkins,WR,22.0,TAM,1992.0,2000.0,0,0,5,35.0,131.0,81.0,20.0,50.0,0.0,366.0,4573.0,18.0,Michigan St.,http://www.pro-football-reference.com/players/H/HawkCo00.htm,69,183
852,1992,2,52,Patrick Rowe,WR,23.0,CLE,1993.0,1993.0,0,0,0,0.0,5.0,0.0,,,,3.0,37.0,0.0,San Diego St.,http://www.pro-football-reference.com/players/R/RowePa20.htm,73,195
853,1992,3,60,Todd Kinchen,WR,23.0,RAM,1992.0,1998.0,0,0,0,13.0,83.0,2.0,7.0,70.0,1.0,95.0,1358.0,10.0,LSU,http://www.pro-football-reference.com/players/K/KincTo00.htm,71,187
854,1992,3,62,Robert Brooks,WR,22.0,GNB,1992.0,2000.0,0,0,5,45.0,100.0,67.0,17.0,75.0,0.0,309.0,4276.0,32.0,South Carolina,http://www.pro-football-reference.com/players/B/BrooRo00.htm,72,177
855,1992,3,63,Ray Ethridge,WR,23.0,SDG,1996.0,1997.0,0,0,0,0.0,16.0,1.0,,,,2.0,24.0,0.0,Pasadena CC,http://www.pro-football-reference.com/players/E/EthrRa20.htm,70,180
856,1992,4,94,Charles Davenport,WR,23.0,PIT,1992.0,1994.0,0,0,0,1.0,38.0,1.0,,,,13.0,187.0,0.0,North Carolina St.,http://www.pro-football-reference.com/players/D/DaveCh00.htm,75,210
858,1992,5,138,Torrance Small,WR,22.0,NOR,1992.0,2001.0,0,0,3,34.0,133.0,56.0,12.0,129.0,2.0,346.0,4602.0,31.0,Alcorn St.,http://www.pro-football-reference.com/players/S/SmalTo00.htm,75,209
